source_file,row_idx,dt_time,target_id,anomaly_family,anomaly_type,change_summary
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,34,001700Z,TCN140,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2835,233730Z,UAL1429,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,390,031500Z,FFT3454,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,499,040930Z,MTN7821,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2755,225730Z,JIA5209,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,237,015830Z,FFT3288,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1802,150100Z,ASH4036,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2312,191600Z,HON22,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2567,212330Z,N502GF,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1872,153600Z,SKW4722,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1235,101730Z,ENY3673,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_11-01-2025.csv,319,023930Z,CSB421,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2737,224830Z,N6341R,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,230,015500Z,UAL1551,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1138,092900Z,DAL3018,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,429,033430Z,DAL2552,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2254,184700Z,PDT6075,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2,000100Z,UCA4284,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2653,220630Z,N318GL,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,524,042200Z,ABX2047,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2716,223800Z,SKW3928,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,794,063700Z,LBQ825,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2591,213530Z,SKW5395,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1357,111830Z,AAL371,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,654,052700Z,N220BL,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1593,131630Z,JBU1447,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2258,184900Z,None,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2515,205730Z,UAL2183,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1385,113230Z,ENY3413,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,407,032330Z,N7764G,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2781,231030Z,EDV5107,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_11-01-2025.csv,438,033900Z,DAL854,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1838,151900Z,JBU1461,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1900,155000Z,KFS116,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,89,004430Z,N7410R,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,371,030530Z,SKW5396,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2734,224700Z,RPA4574,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1670,135500Z,SWA169,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,204,014200Z,ASH6282,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1823,151130Z,UCA4818,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2829,233430Z,PDT5902,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,374,030700Z,SWA2086,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_11-01-2025.csv,642,052100Z,FFT3288,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2683,222130Z,RPA4574,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1142,093100Z,DAL3018,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2865,235230Z,JIA5273,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,6,000300Z,NKS893,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,2221,183030Z,N635BK,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1341,111030Z,NKS2756,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,488,040400Z,N320RL,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,163,012130Z,PDT5945,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1987,163330Z,N738BG,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,414,032700Z,FFT1683,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,678,053900Z,CSB421,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,1639,133930Z,UAL1876,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1607,132330Z,JBU1347,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2220,183000Z,N123KC,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,465,035230Z,AAL1316,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2868,235400Z,N41858,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2354,193700Z,N62FF,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1115,091730Z,UPS1270,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2097,172830Z,AAY1388,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,333,024630Z,RPA4577,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1841,152030Z,VXP1160,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1716,141800Z,N7410R,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1256,102800Z,DAL2241,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2194,181700Z,FDX605,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1337,110830Z,ENY3413,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1889,154430Z,FFT4348,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2607,214330Z,UPS5274,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1750,143500Z,RPA4604,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1322,110100Z,SKW4468,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2284,190200Z,UAL2276,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1859,152930Z,UAL392,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2531,210530Z,SKW3839,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1696,140800Z,N322TW,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,1759,143930Z,UAL1154,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_11-01-2025.csv,83,004130Z,JIA5455,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2460,203000Z,AVA247,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2058,170900Z,N9363V,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,144,011200Z,AAL2082,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2787,231330Z,AAL2952,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,649,052430Z,N810WF,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1582,131100Z,N512WF,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_11-01-2025.csv,141,011030Z,AAY1365,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2777,230830Z,N562TC,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,581,045030Z,FFT4602,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,2361,194030Z,N7410R,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,638,051900Z,N763JA,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1478,121900Z,DAL323,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1412,114600Z,ENY3640,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2863,235130Z,SWA1957,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2090,172500Z,N5730J,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2725,224230Z,AAL3090,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2089,172430Z,WJA2271,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2272,185600Z,N70NC,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,354,025700Z,EDV5156,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1183,095130Z,N264MB,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2073,171630Z,N5YD,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1298,104900Z,TAI581,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1339,110930Z,SKW4468,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1974,162700Z,SWA409,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,197,013830Z,N8272V,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_11-01-2025.csv,124,010200Z,N5730J,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1599,131930Z,JBU1247,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1924,160200Z,N857C,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2763,230130Z,DAL1439,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2314,191700Z,EDV4986,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2292,190600Z,N7555Y,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1455,120730Z,JBU1551,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,5,000230Z,UCA4284,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1143,093130Z,DAL3018,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2073,171630Z,N65HF,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2239,183930Z,UAL2211,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,206,014300Z,N1205Z,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2386,195300Z,N107US,Runway Safety / Surface Movement,Runway without clearance,Runway without clearance
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,244,020200Z,ENY3648,Runway Safety / Surface Movement,Runway without clearance,Runway without clearance
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2609,214430Z,EJA528,Runway Safety / Surface Movement,Runway without clearance,Runway without clearance
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2350,193500Z,N325PE,Runway Safety / Surface Movement,Runway without clearance,Runway without clearance
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1941,161030Z,AAL2846,Runway Safety / Surface Movement,Runway without clearance,Runway without clearance
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1647,134330Z,None,Runway Safety / Surface Movement,Runway without clearance,Runway without clearance
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2011,164530Z,None,Runway Safety / Surface Movement,Runway without clearance,Runway without clearance
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1648,134400Z,AAL2846,Runway Safety / Surface Movement,Runway without clearance,Runway without clearance
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2612,214600Z,None,Runway Safety / Surface Movement,Runway without clearance,Runway without clearance
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2740,225000Z,JIA5209,Runway Safety / Surface Movement,Runway without clearance,Runway without clearance
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,1685,140230Z,None,Runway Safety / Surface Movement,Runway without clearance,Runway without clearance
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2139,174930Z,N481QS,Runway Safety / Surface Movement,Runway without clearance,Runway without clearance
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1296,104800Z,AAL3291,Runway Safety / Surface Movement,Runway without clearance,Runway without clearance
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,264,021200Z,DAL1604,Runway Safety / Surface Movement,Runway without clearance,Runway without clearance
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1874,153700Z,None,Runway Safety / Surface Movement,Runway without clearance,Runway without clearance
